Age,Temp,CO2,CH4,GAST_2.5,GAST,GAST_97.5,Eccentricity,Obliquity,Precession
-798,"-8,6213","190,06","435,32","-10,14","-6,53","-3,63","0,01548628706","23,08887651","26,49638256"
-797,"-8,6449","188,54","402,37","-9,73","-6,25","-3,8","0,01592666245","23,15841439","45,66048976"
-796,"-8,3792","191,48","420,32","-9,31","-6,04","-3,36","0,01628885259","23,23304434","64,58929819"
-795,"-7,6399","196,63","427,55","-8,79","-5,86","-3,07","0,0166986994","23,31097603","83,47818343"
-794,"-6,6322","203,73","435,42","-9,21","-5,58",-3,"0,01711604501","23,39009344","101,9012139"
-793,"-5,8783","204,9","465,73","-8,56","-5,44","-3,13","0,01749129291","23,4681673","120,6485444"
-792,"-5,35","206,51","466,02","-8,33","-5,15","-2,54","0,01787422363","23,54343506","138,9062868"
-791,"-4,3422","218,44","492,02","-7,86","-4,14","-1,44","0,01820765044","23,61385383","157,0967338"
-790,"-3,4341","219,81","540,15","-6,42","-3,22","-0,62","0,01857525145","23,67764137","175,358566"
-789,"-2,5828","228,77","554,14","-5,42","-2,99","-0,58","0,01887788136","23,73326203","193,3879574"
-788,"-1,878","247,93","608,13","-5,66","-2,78","0,24","0,01913413313","23,77928009","211,3756902"
-787,"-0,5853","257,43","708,44","-5,12","-2,59","-0,01","0,01944248252","23,81459706","229,3294897"
-786,"-1,0417","256,7","680,47","-5,08","-2,45","-0,05","0,01964761214","23,83858934","247,1505258"
-785,"-1,1234","251,81","661,68","-4,95","-2,2","0,63","0,01984610622","23,85054311","265,1932607"
-784,"-1,7073","247,76","647,44","-4,82","-2,08","0,64","0,0200177493","23,85049374","282,8188124"
-783,"-1,9671","250,81","633,58","-5,05","-2,14","0,23","0,02018774598","23,83870193","300,7769104"
-782,"-1,9598","246,48","623,77","-4,94","-1,92","0,44","0,02026143107","23,81543421","318,7098085"
-781,"-2,3512","245,28","630,86","-4,98","-1,9","0,55","0,02036626546","23,78154112","336,3943715"
-780,"-2,1573","247,14","613,89","-4,97","-2,14","0,86","0,02041881133","23,73799581","354,4629097"
-779,"-2,1625","245,12","606,66","-5,03","-2,1","0,73","0,02048284776","23,68578661","12,27968365"
-778,"-2,4397","246,07","679,82","-5,48","-2,33","0,35","0,02044837996","23,62621724","30,26759099"
-777,"-2,6938","244,85","630,67","-5,74","-2,42","0,85","0,0204437918","23,56049499","48,19374394"
-776,"-2,7499","238,86","617,82","-6,31","-2,51","0,92","0,02043564517","23,48990131","66,14525003"
-775,"-3,265","240,13","579,05","-6,65","-2,62","0,89","0,02028832063","23,41585053","84,23313951"
-774,"-3,7998","234,63","563,01","-6,43","-2,85","0,83","0,02020984522","23,33975166","102,1625467"
-773,"-4,2659","230,04","565,97","-6,81","-3,28","0,22","0,02004135237","23,2630661","120,2189352"
-772,"-4,3488","230,61","539,3","-6,88","-3,46","0,58","0,01984765299","23,18739517","138,450716"
-771,"-3,8831","235,65","644,99","-6,57","-3,45","0,21","0,01960847982","23,11417642","156,4923006"
-770,"-3,8307","229,39","620,64","-6,64","-3,22","-0,05","0,01930852173","23,04485455","174,6812223"
-769,"-4,6136","221,53","569,01","-6,72","-3,43","-0,16","0,01904906787","22,98100101","193,0735239"
-768,"-5,6004","219,05","515,04","-6,51","-3,3","-0,02","0,01863229681","22,92377346","211,3231635"
-767,"-6,3292","213,71","514,52","-6,55","-3,07","0,29","0,01824300878","22,87430707","229,7728576"
-766,"-5,9625","216,02","463,58","-6,22","-3,09","0,79","0,01785701615","22,83347626","248,1929793"
-765,"-5,0912","221,53","530,75","-6,55","-3,08","0,06","0,01733151189","22,8019843","266,9110399"
-764,"-4,735","221,97","552,08","-6,47","-3,19","0,21","0,01683150658","22,78016224","285,5248062"
-763,"-5,2339","215,71","525,62","-6,48","-3,39","0,2","0,01634183306","22,76842275","304,1964571"
-762,"-6,3034","211,38","473,92","-7,39","-3,62","-0,07","0,01572306341","22,76690451","323,3157068"
-761,"-7,3278","206,48","461,37","-7,48","-4,02","-0,97","0,01518264479","22,77560872","342,1629791"
-760,"-7,162","210,18","461,48","-8,4","-4,35","-0,7","0,01452548822","22,79457668","1,383636318"
-759,"-6,2366","217,07","427,21","-9,11","-4,88","-1,29","0,01394666726","22,82365343","20,66051964"
-758,"-5,5243","218,7",498,"-9,07","-5,22","-1,62","0,01329886389","22,86245227","40,205788"
-757,"-5,2463","211,5","473,16","-9,35","-5,54","-1,81","0,01259614408","22,91065262","59,79996459"
-756,"-6,3495","204,3","430,82","-9,27","-5,77","-1,79","0,01201625872","22,96755009","79,68964668"
-755,"-7,4781","199,16","424,93","-9,14","-5,74","-1,76","0,01130267194","23,03234322","99,85520164"
-754,"-7,8825","191,67","410,29","-9,07","-5,68","-2,59","0,01064119445","23,10405752","120,4193167"
-753,"-8,2713","196,39","424,75","-9,22","-5,23","-2,01","0,009993130469","23,18141825","141,0145619"
-752,"-8,4191","189,64","410,04","-8,62","-4,58","-1,77","0,009348052114","23,26290917","162,5593519"
-751,"-8,5822","185,4","420,2","-8,11","-4,14","-0,98","0,008737284039","23,34719184","184,5373136"
-750,"-8,3958","184,34","398,63","-7,33","-3,79","-0,79","0,008124793689","23,43256824","206,9906313"
-749,"-8,4979","181,67","400,04","-6,97","-3,62","-0,76","0,007627883895","23,51730744","230,5412244"
-748,"-8,6804","180,52","397,86","-6,28","-3,34","-0,9","0,007234119055","23,59993229","254,933119"
-747,"-8,6209","181,34","404,91","-6,28","-3,31","-0,7","0,006832660682","23,67876301","280,4457214"
-746,"-8,56","180,79","415,16","-5,98","-3,18","-0,84","0,006731163477","23,75212585","306,0973353"
-745,"-8,481","181,72","424,56","-6,04","-3,17","-0,83","0,006695622757","23,81872528","332,640161"
-744,"-8,8216","180,83","430,75","-5,53","-3,01","-0,87","0,006878009782","23,8771917","358,9216365"
-743,"-8,7659","181,91","416,12","-5,7","-3,14","-0,67","0,007220213842","23,92602352","24,38311193"
-742,"-8,4395","177,77","406,7","-5,61","-3,15","-1,13","0,007657255153","23,96419446","48,96940727"
-741,"-8,2422","178,61","407,82","-5,97","-3,15","-0,88","0,008345146331","23,99066642","72,56089697"
-740,"-7,5558","182,78","406,78","-5,6","-3,17",-1,"0,008946448814","24,00436163","95,39319635"
-739,"-5,8933","198,97","407,4","-5,52","-3,05","-0,46","0,009729568485","24,00475624","117,0840713"
-738,"-5,0042","209,41","458,88","-5,62","-2,98","-0,6","0,01054666334","23,99135875","138,0312434"
-737,"-4,4858","208,19","556,97","-5,82","-2,87","-0,17","0,01137037447","23,96385921","158,8607545"
-736,"-3,8099","203,74","538,54","-5,99","-2,98","0,14","0,01225623621","23,92272958","178,779884"
-735,"-4,099","203,39","528,83","-6,2","-3,15","-0,29","0,01312700527","23,8682727","198,3317532"
-734,"-3,9375",205,"522,91","-6,53","-3,39","-0,15","0,01407919603","23,8013776","217,8954939"
-733,"-3,9446","204,63","524,09","-6,47","-3,48","-0,64","0,01497682701","23,7234668","236,839299"
-732,"-4,7965","203,99","531,82","-6,37","-3,47","-1,14","0,01589298848","23,63594629","255,8049149"
-731,"-5,2534","204,21","538,24","-6,37","-3,55","-1,15","0,01686196135","23,54053141","274,4506273"
-730,"-5,3379","204,3","547,98","-7,06","-3,55","-1,29","0,01777854323","23,43951342","293,0510341"
-729,"-5,7631","205,32","533,03","-6,87","-3,67","-0,74","0,01870268164","23,3348447","311,6338409"
-728,"-6,034","205,37",542,"-6,42","-3,68","-1,37","0,01964773005","23,22879755","329,8054299"
-727,"-6,004","205,29","531,28","-6,2","-3,83","-1,4","0,02057037879","23,12395465","348,2602299"
-726,"-5,3482","206,85","549,07","-6,71","-3,93","-1,45","0,02149757116","23,0226108","6,461319119"
-725,"-5,1776","206,68",485,"-6,62","-3,96","-1,55","0,02239594994","22,92714407","24,57709592"
-724,"-6,179","211,62","569,57","-6,52","-3,89","-1,36","0,02329087309","22,84012412","42,68657029"
-723,"-7,7375","213,14","565,77","-6,68","-3,97","-1,52","0,024220766","22,76365644","60,75730062"
-722,"-8,5897","211,03","518,83","-6,37","-3,95","-1,42","0,02498496906","22,699881","78,75515056"
-721,"-8,1336","202,7","458,97","-6,56","-3,95","-1,58","0,02589165538","22,65072127","96,61853538"
-720,"-7,1298","190,61","405,19","-6,51","-3,96","-1,53","0,02667944317","22,61742231","114,6051747"
-719,"-6,834","185,06","397,8","-6,64","-3,93","-1,85","0,02740872378","22,60091618","132,4512612"
-718,"-6,3495","193,68","402,39","-6,82","-3,81","-1,35","0,02819512633","22,6018443","150,2437872"
-717,"-5,7071","205,56","408,59","-6,37","-3,69","-1,6","0,02888973394","22,61979885","167,9806894"
-716,"-5,2458","218,43","489,67","-5,87","-3,52","-1,13","0,02957430454","22,65419854","185,8109167"
-715,"-4,5076","218,51","570,87","-5,82","-3,3","-1,04","0,03023103629","22,70411165","203,367893"
-714,"-4,0038","222,09","583,71","-5,67","-3,27","-1,03","0,03084759701","22,76766114","221,0038389"
-713,"-4,1397","219,13","596,86","-5,49","-2,76","-0,65","0,03149851714","22,84317436","238,5745026"
-712,"-4,1713","218,62","581,12","-4,9","-2,31","0,05","0,03203872181","22,92868722","256,0164122"
